 ISBN                     Is Valid?
---------------------------------------------
989-28-79-70597-8           Yes
989-28-65-46930-3           Yes
989-28-79-52883-6           Yes
989-28-79-43574-5           Yes
989-28-65-45794-2           Yes
989-28-79-44730-4           Yes
989-28-65-45771-3           Yes
989-28-79-04510-4           Yes
989-28-79-18127-7           Yes
989-28-79-68089-3           Yes
989-28-79-22871-2           Yes
989-28-79-01991-4           Yes
989-28-65-40047-4           Yes
989-28-79-67891-3           Yes
989-28-65-42620-7           Yes
989-28-37-05054-6           Yes
989-28-79-45675-7           Yes
989-28-79-82749-6           Yes
989-28-79-30536-9           Yes
989-28-22-91404-4           Yes
989-28-22-97592-2           Yes
989-28-37-05222-9           Yes
989-28-79-69807-2           Yes
989-28-79-42728-3           Yes
989-28-65-47965-4           Yes
989-28-79-87459-9           Yes
989-28-22-96632-6           Yes
989-28-79-32105-5           Yes
989-28-79-43841-8           Yes
989-28-79-61125-5           Yes
989-28-65-40127-3           Yes
989-28-65-49826-6           Yes
989-28-79-82125-8           Yes
989-28-79-14379-4           Yes
989-28-65-46033-1           Yes
989-28-22-90197-6           Yes
989-28-65-44370-9           Yes
989-28-79-13801-1           Yes
989-28-37-05633-3           Yes
989-28-37-05987-7           Yes
989-28-79-13871-4           Yes
989-28-79-05638-4           Yes
989-28-79-91028-0           Yes
989-28-37-05966-2           Yes
989-28-37-05607-4           Yes
989-28-22-95891-8           Yes
989-28-37-05592-3           Yes
989-28-79-82197-5           Yes
989-28-79-22562-9           Yes
989-28-79-40897-8           Yes
989-28-79-23015-9           Yes
989-28-37-05152-9           Yes
989-28-37-05583-1           Yes
989-28-79-07610-8           Yes
989-28-37-05649-4           Yes
989-28-79-51397-9           Yes
989-28-37-05775-0           Yes
989-28-37-05136-9           Yes
989-28-79-56856-6           Yes
989-28-79-26824-4           Yes
989-28-22-93157-7           Yes
989-28-37-05492-6           Yes
989-28-37-05138-3           Yes
989-28-37-05007-2           Yes
989-28-37-05369-1           Yes
989-28-79-23023-4           Yes
989-28-79-21991-8           Yes
989-28-79-68531-7           Yes
989-28-79-96705-5           Yes
989-28-79-16826-1           Yes
989-28-65-42017-5           Yes
989-28-79-16533-8           Yes
989-28-79-69359-6           Yes
989-28-79-16808-7           Yes
989-28-65-45018-9           Yes
989-28-79-36485-4           Yes
989-28-79-27078-0           Yes
989-28-79-55824-6           Yes
989-28-65-49484-8           Yes
989-28-65-43988-7           Yes
989-28-79-86624-2           Yes
989-28-79-64693-6           Yes
989-28-22-99769-6           Yes
989-28-37-05763-7           Yes
989-28-79-74374-1           Yes
989-28-79-55752-2           Yes
989-28-65-46507-7           Yes
989-28-79-03683-6           Yes
989-28-65-43899-6           Yes
989-28-79-11297-4           Yes
